rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000188659,2350867,Fabaceae,Labichea,deserticola,,Labichea deserticola,J.H.Ross,Species,Accepted,2350867,2350870,,Muelleria 6: 32 (1985),,Western Australia,ipni:906466-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:906466-1,wfo-4000020324,,49209,,,,,Dialioideae
wfo-0000205662,2763503,Fabaceae,Dialium,modestum,,Dialium modestum,(Steenis) Steyaert,Species,Synonym,2446621,,2446621,Reinwardtia 2: 355 (1953),,,ipni:492337-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:492337-1,,wfo-0000205663,49365,,,,,Dialioideae
wfo-0001268308,2368509,Fabaceae,Martiodendron,fluminense,,Martiodendron fluminense,Lombardi,Species,Accepted,2368509,2368514,,Brittonia 54: 327 (2002 publ. 2003),,"Brazil (Espírito Santo, Rio de Janeiro)",ipni:326832-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326832-2,wfo-4000023240,,49448,,,,,Dialioideae
wfo-0000653214,2774088,Fabaceae,Doga,pancheri,,Doga pancheri,(Baill.) Baum.-Bod.,Species,Synonym,2597121,,2597121,Syst. Fl. Neu-Caledonien 5: 77 (1989),,,ipni:946712-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:946712-1,,wfo-0000502378,49892,,,,,Dialioideae
wfo-4000023242,2368493,Fabaceae,Martiusia,,,Martiusia,Benth.,Genus,Illegitimate,2368514,,,J. Bot. (Hooker) 2: 84 (1840),", nom. illeg.",,ipni:326831-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326831-2,,wfo-4000023240,49997,,,,,Dialioideae
wfo-0000193202,2336264,Fabaceae,Koompassia,malaccensis,,Koompassia malaccensis,Maingay,Species,Accepted,2336264,2336292,,Hooker's Icon. Pl. 12: t. 1164 (1873),,"Thailand to Pen. Malaysia, Borneo",ipni:501264-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501264-1,wfo-4000020165,,50967,,,,,Dialioideae
wfo-0000187756,2350881,Fabaceae,Labichea,nitida,,Labichea nitida,Benth.,Species,Accepted,2350881,2350870,,Fl. Austral. 2: 293 (1864),,NE. Queensland,ipni:501392-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501392-1,wfo-4000020324,,51350,,,,,Dialioideae
wfo-0000502381,2597124,Fabaceae,Storckiella,comptonii,,Storckiella comptonii,Baker f.,Species,Synonym,3239515,,,"J. Linn. Soc., Bot. 45: 296 (1921)",,,ipni:519564-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:519564-1,,wfo-0001448840,51462,,,,,Dialioideae
wfo-0000364986,2350871,Fabaceae,Labichea,bipunctata,,Labichea bipunctata,Paxton,Species,Synonym,3012949,,,Paxton's Mag. Bot. 10: 150 (1843),,,ipni:501384-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501384-1,,wfo-0000187749,51481,,,,,Dialioideae
wfo-4000028898,2415668,Fabaceae,Petalogyne,,,Petalogyne,F.Muell.,Genus,Illegitimate,2538854,,,Hooker's J. Bot. Kew Gard. Misc. 8: 324 (1856),", nom. superfl.",,ipni:23195-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23195-1,,wfo-4000028915,51826,,,,,Dialioideae
wfo-4000023226,3240716,Fabaceae,Martia,,,Martia,Benth.,Genus,Orthographic,2368514,,,J. Bot. (Hooker) 2: 146 (1840),", orth. var.",,ipni:22887-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:22887-1,,wfo-4000023240,52076,,,,,Dialioideae
