rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000167120,2389102,Fabaceae,Oligostemon,pictus,,Oligostemon pictus,Benth.,Species,Synonym,2779362,,,Trans. Linn. Soc. London 25: 305 (1865),,,ipni:509815-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:509815-1,,wfo-0000167109,10433,,,,,Duparquetioideae
wfo-0000167109,2779362,Fabaceae,Duparquetia,orchidacea,,Duparquetia orchidacea,Baill.,Species,Accepted,2779362,2779361,,Adansonia 6: 190 (1865),,W. & WC. Trop. Africa,ipni:380758-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:380758-1,wfo-4000012750,,14407,,,,,Duparquetioideae
wfo-4000026755,2389103,Fabaceae,Oligostemon,,,Oligostemon,Benth.,Genus,Illegitimate,2779361,,,"G.Bentham & J.D.Hooker, Gen. Pl. 1: 570 (1865)",", nom. illeg.",,ipni:23064-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:23064-1,,wfo-4000012750,19852,,,,,Duparquetioideae
wfo-4000012750,2779361,Fabaceae,Duparquetia,,,Duparquetia,Baill.,Genus,Accepted,2779361,,,Adansonia 6: 189 (1865),,W. & WC. Trop. Africa,ipni:17014-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17014-1,wfo-4100002416,,46739,,,,,Duparquetioideae
wfo-4100002416,89128,,,,,Duparquetioideae,,subfamily,Accepted,,,,Taxon 66(1): 69 (2017),,,,,wfo-7000000323,,89753,,,,,Duparquetioideae
