rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0000469520,2538554,Fabaceae,Pauletia,bicolor,,Pauletia bicolor,Bong.,Species,Synonym,2671363.0,,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat. 4(2, Bot.): 117 (1838)",,,ipni:512786-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512786-1,,wfo-0000173888,31120,,,,,,Cercidoideae
wfo-0001445013,3005901,Fabaceae,Bandeiraea,tenuiflora,longipetala,Bandeiraea tenuiflora var. longipetala,De Wild.,Variety,Synonym,2833547.0,,,Bull. Jard. Bot. État Bruxelles 4: 137 (1914),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3005901-4,,wfo-0000168203,31256,,,,,,Cercidoideae
wfo-0000176273,2366180,Fabaceae,Mandarus,pes-caprae,,Mandarus pes-caprae,(Cav.) Raf.,Species,Synonym,2671932.0,,2671932.0,Sylva Tellur.: 122 (1838),,,ipni:505883-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505883-1,,wfo-0000173929,31424,,,,,,Cercidoideae
wfo-4000004242,2671275,Fabaceae,Bauhinia,,,Bauhinia,Plum. ex L.,Genus,Accepted,2671275.0,,,Sp. Pl.: 374 (1753),,Tropics & Subtropics,ipni:327181-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327181-2,wfo-4100002414,,31541,,,,,Cercidoideae,Cercidoideae
wfo-0001445123,2916450,Fabaceae,Cercis,siliquastrum,variegata,Cercis siliquastrum var. variegata,T.Moore & Mast.,Variety,Synonym,3256015.0,,,Gard. Chron. 1873: 1404 (1873),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2916450-4,,wfo-0000188790,31797,,,,,,Cercidoideae
wfo-0000167283,2825232,Fabaceae,Gigasiphon,macrosiphon,,Gigasiphon macrosiphon,(Harms) Brenan,Species,Accepted,2825232.0,2825227.0,2671812.0,Kew Bull. 17: 214 (1963),,Kenya to Tanzania,ipni:496529-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496529-1,wfo-4000015631,,31926,,,,,,Cercidoideae
wfo-0001061479,2672152,Fabaceae,Bauhinia,tomentosa,glabrata,Bauhinia tomentosa var. glabrata,Hook.f.,Variety,Synonym,2672149.0,,,Bot. Mag. 92: t. 5560 (1866),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2672152-4,,wfo-0000213258,31961,,,,,,Cercidoideae
wfo-0000469522,2538558,Fabaceae,Pauletia,acuruana,,Pauletia acuruana,(Moric.) A.Schmitz,Species,Synonym,2671286.0,,2671286.0,Bull. Jard. Bot. Natl. Belg. 43: 387 (1973),,,ipni:512782-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512782-1,,wfo-0000173884,31966,,,,,,Cercidoideae
wfo-0001318953,3008909,Fabaceae,Bauhinia,malmeana,,Bauhinia malmeana,Vaz & G.P.Lewis,Species,Accepted,3008909.0,2671275.0,,Phytotaxa 239: 266 (2015),,Brazil (Mato Grosso),ipni:77151815-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77151815-1,wfo-4000004242,,31998,,,,,,Cercidoideae
wfo-0000469477,2538480,Fabaceae,Pauletia,grandifolia,,Pauletia grandifolia,Bong.,Species,Synonym,2671648.0,,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat. 4(2, Bot.): 130 (1838)",,,ipni:512813-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512813-1,,wfo-0001054397,32170,,,,,,Cercidoideae
