rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,Subgenus,subfamily
wfo-0000176293,2671713,Fabaceae,Bauhinia,inermis,,Bauhinia inermis,(Cav.) Pers.,Species,Illegitimate,3242754.0,,2538476.0,Syn. Pl. 1: 455 (1805),", nom. illeg.",,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2671713-4,,wfo-0001445020,17,,,,,,Cercidoideae
wfo-0000166284,2672091,Fabaceae,Bauhinia,spathacea,,Bauhinia spathacea,Sessé ex DC.,Species,Synonym,2672123.0,,,Prodr. 2: 512 (1825),,,ipni:30174-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30174-2,,wfo-0000163973,46,,,,,,Cercidoideae
wfo-0000163964,2672039,Fabaceae,Bauhinia,rufa,intermedia,Bauhinia rufa var. intermedia,(Vogel) Benth.,Variety,Synonym,2672035.0,,2671720.0,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 187 (1870)",,,ipni:30161-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30161-2,,wfo-0000173941,182,,,,,,Cercidoideae
wfo-0000469538,2538625,Fabaceae,Pauletia,subclavata,,Pauletia subclavata,(Benth.) A.Schmitz,Species,Synonym,2672120.0,,2672120.0,Bull. Jard. Bot. Natl. Belg. 43: 396 (1973),,,ipni:512844-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512844-1,,wfo-0000173945,186,,,,,,Cercidoideae
wfo-0000199520,2671919,Fabaceae,Bauhinia,parvula,,Bauhinia parvula,Gagnep.,Species,Synonym,2671683.0,,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 24: 316 (1952)",,,ipni:481548-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481548-1,,wfo-0000196986,209,,,,,,Cercidoideae
wfo-0000469493,2538502,Fabaceae,Pauletia,platyphylla,,Pauletia platyphylla,(Benth.) A.Schmitz,Species,Synonym,2671954.0,,2671954.0,Bull. Jard. Bot. Natl. Belg. 43: 396 (1973),,,ipni:512836-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512836-1,,wfo-0000173933,218,,,,,,Cercidoideae
wfo-0000561616,2671877,Fabaceae,Bauhinia,mucora,,Bauhinia mucora,Bolle,Species,Synonym,2672149.0,,,"W.C.H.Peters, Naturw. Reise Mossambique 6(Bot., 1): 22 (1861)",,,ipni:481519-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481519-1,,wfo-0000213258,265,,,,,,Cercidoideae
wfo-0000173922,2671883,Fabaceae,Bauhinia,nitida,,Bauhinia nitida,Benth.,Species,Synonym,2671539.0,,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 184 (1870)",,,ipni:481524-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481524-1,,wfo-0001054395,382,,,,,,Cercidoideae
wfo-0000166229,2671664,Fabaceae,Bauhinia,hassleriana,,Bauhinia hassleriana,Chodat,Species,Synonym,2671658.0,,,"Bull. Herb. Boissier, sér. 2, 4: 690 (1904)",,,ipni:30070-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30070-2,,wfo-0000163933,384,,,,,,Cercidoideae
wfo-0000203497,2537933,Fabaceae,Phanera,phoenicea,,Phanera phoenicea,(B.Heyne ex Wight & Arn.) Benth.,Species,Synonym,2915053.0,,2915053.0,"F.A.W.Miquel, Pl. Jungh.: 262 (1852)",,,ipni:513564-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513564-1,,wfo-0000203494,470,,,,,,Cercidoideae
wfo-1000038809,2538478,Fabaceae,Pauletia,hirsuta,,Pauletia hirsuta,(Weinm.) A.Schmitz,Species,Illegitimate,2671683.0,,2671683.0,Bull. Jard. Bot. Natl. Belg. 43: 395 (1973),", nom. illeg.",,ipni:512815-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512815-1,,wfo-0000196986,528,,,,,,Cercidoideae
wfo-0000181885,2671364,Fabaceae,Bauhinia,bicuspidata,,Bauhinia bicuspidata,Benth.,Species,Synonym,2671786.0,,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 193 (1870)",,,ipni:314724-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314724-2,,wfo-0000173915,596,,,,,,Cercidoideae
wfo-0000166269,2671994,Fabaceae,Bauhinia,purpusii,,Bauhinia purpusii,(Britton) Lundell,Species,Synonym,3242753.0,,2702534.0,Phytologia 1: 214 (1937),,,ipni:30152-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30152-2,,wfo-0001282684,603,,,,,,Cercidoideae
wfo-0000469503,2538517,Fabaceae,Pauletia,depauperata,,Pauletia depauperata,(Glaz.) A.Schmitz,Species,Synonym,2671518.0,,2671518.0,Bull. Jard. Bot. Natl. Belg. 43: 389 (1973),,,ipni:512799-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512799-1,,wfo-0000561565,609,,,,,,Cercidoideae
wfo-0000173899,2671504,Fabaceae,Bauhinia,curvula,,Bauhinia curvula,Benth.,Species,Accepted,2671504.0,2671275.0,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 194 (1870)",,E. Bolivia to Brazil,ipni:481246-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481246-1,wfo-4000004242,,630,,,,,,Cercidoideae
wfo-0000163983,2672195,Fabaceae,Bauhinia,viridiflorens,,Bauhinia viridiflorens,Ducke,Species,Synonym,2671539.0,,,Arch. Jard. Bot. Rio de Janeiro 5: 129 (1930),,,ipni:30208-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30208-2,,wfo-0001054395,657,,,,,,Cercidoideae
wfo-0000213116,2671807,Fabaceae,Bauhinia,macrantha,,Bauhinia macrantha,Oliv.,Species,Accepted,2671807.0,2671275.0,,Fl. Trop. Afr. 2: 289 (1871),,S. Trop. & S. Africa,ipni:481468-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481468-1,wfo-4000004242,,660,,,,,,Cercidoideae
wfo-4000005294,2681776,Fabaceae,Bracteolanthus,,,Bracteolanthus,de Wit,Genus,Synonym,2671275.0,,,Reinwardtia 3: 415 (1956),,,ipni:21847-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21847-1,,wfo-4000004242,749,,,,,,Cercidoideae
wfo-0000205675,2672066,Fabaceae,Bauhinia,schlechteri,,Bauhinia schlechteri,Harms,Species,Synonym,2825233.0,,,Bot. Jahrb. Syst. 55: 55 (1917),,,ipni:481663-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481663-1,,wfo-0000205676,761,,,,,,Cercidoideae
wfo-0000164286,2671282,Fabaceae,Bauhinia,aculeata,grandiflora,Bauhinia aculeata subsp. grandiflora,(Juss.) Wunderlin,Subspecies,Accepted,2671282.0,2671280.0,2671646.0,Ann. Missouri Bot. Gard. 60: 570 (1973),,W. South America,ipni:29982-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:29982-2,wfo-0000183530,,830,,,,,,Cercidoideae
wfo-0000176301,2676045,Fabaceae,Binaria,uruguayensis,,Binaria uruguayensis,(Benth.) A.Schmitz,Species,Synonym,2672173.0,,2672173.0,Bull. Jard. Bot. Natl. Belg. 43: 406 (1973),,,ipni:481911-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481911-1,,wfo-0000173949,847,,,,,,Cercidoideae
wfo-0001379580,2671507,Fabaceae,Bauhinia,cuyabensis,ferruginea,Bauhinia cuyabensis var. ferruginea,Chodat & Hassl.,Variety,Synonym,2901998.0,,,"Bull. Herb. Boissier, sér. 2, 4: 689 (1904)",,,ipni:30035-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30035-2,,wfo-0000747922,852,,,,,,Cercidoideae
wfo-0000176256,2671890,Fabaceae,Bauhinia,odoratissima,,Bauhinia odoratissima,Moric.,Species,Illegitimate,2671716.0,,,Pl. Nouv. Amér.: 78 (1840),", nom. illeg.",,ipni:481530-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481530-1,,wfo-0000173912,875,,,,,,Cercidoideae
wfo-0001401008,2538618,Fabaceae,Pauletia,viridescens,baviensis,Pauletia viridescens var. baviensis,(Drake) A.Schmitz,Variety,Synonym,3242755.0,,2671355.0,Bull. Jard. Bot. Natl. Belg. 43: 396 (1973),,,ipni:885686-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:885686-1,,wfo-0000196995,881,,,,,,Cercidoideae
wfo-0000163923,2671523,Fabaceae,Bauhinia,dimorphophylla,,Bauhinia dimorphophylla,Hoehne,Species,Accepted,2671523.0,2671275.0,,"Arq. Bot. Estado São Paulo, n.s., f.m., 1(1): 25 (1938)",,SE. Brazil,ipni:481259-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481259-1,wfo-4000004242,,971,,,,,,Cercidoideae
wfo-0000212992,2671730,Fabaceae,Bauhinia,kalantha,,Bauhinia kalantha,Harms,Species,Accepted,2671730.0,2671275.0,,Bot. Jahrb. Syst. 38: 398 (1906),,Tanzania,ipni:481414-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481414-1,wfo-4000004242,,1006,,,,,,Cercidoideae
wfo-0000561651,2672070,Fabaceae,Bauhinia,sellowiana,,Bauhinia sellowiana,Vogel,Species,Synonym,2671607.0,,,Linnaea 13: 306 (1839),,,ipni:481667-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481667-1,,wfo-0000173907,1024,,,,,,Cercidoideae
wfo-0000469537,2538624,Fabaceae,Pauletia,taitensis,,Pauletia taitensis,(Taub.) A.Schmitz,Species,Synonym,2672133.0,,2672133.0,Bull. Jard. Bot. Natl. Belg. 43: 392 (1973),,,ipni:512845-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512845-1,,wfo-0000213247,1056,,,,,,Cercidoideae
wfo-0001401005,2538487,Fabaceae,Pauletia,forficata,longiflora,Pauletia forficata var. longiflora,(D.Dietr.) A.Schmitz,Variety,Synonym,3242749.0,,2671790.0,Bull. Jard. Bot. Natl. Belg. 43: 390 (1973),,,ipni:885682-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:885682-1,,wfo-0000179899,1114,,,,,,Cercidoideae
wfo-0001409923,2672038,Fabaceae,Bauhinia,rufa,dodecandra,Bauhinia rufa var. dodecandra,(Bong.) Benth.,Variety,Synonym,2671689.0,,2538483.0,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 187 (1870)",,,ipni:30160-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30160-2,,wfo-0000176287,1407,,,,,,Cercidoideae
wfo-0000166268,2671870,Fabaceae,Bauhinia,monantha,,Bauhinia monantha,(Britton & Rose) Lundell,Species,Synonym,2606421.0,,2702527.0,Phytologia 1: 214 (1937),,,ipni:30130-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30130-2,,wfo-0001380753,1502,,,,,,Cercidoideae
wfo-0000211738,2621810,Fabaceae,Adenolobus,mossamedensis,,Adenolobus mossamedensis,Torre & Hillc.,Species,Synonym,2621812.0,,,"Bol. Soc. Brot., sér. 2, 29: 37 (1955)",,,ipni:472251-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:472251-1,,wfo-0000211728,1567,,,,,,Cercidoideae
wfo-1000038926,2672147,Fabaceae,Bauhinia,timorana,,Bauhinia timorana,Baker,Species,Synonym,2672000.0,,,"J.D.Hooker, Fl. Brit. India 2: 276 (1878)",,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2672147-4,,wfo-0000213166,1684,,,,,,Cercidoideae
wfo-0000178316,2671941,Fabaceae,Bauhinia,pichinchensis,,Bauhinia pichinchensis,Wunderlin,Species,Accepted,2671941.0,2671275.0,,Brittonia 35: 338 (1983),,Ecuador,ipni:30140-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30140-2,wfo-4000004242,,1783,,,,,,Cercidoideae
wfo-1200022393,2671281,Fabaceae,Bauhinia,aculeata,,Bauhinia aculeata,Vell.,Species,Illegitimate,3242749.0,,,Fl. Flumin.: 171 (1829),", nom. illeg.",,ipni:481077-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481077-1,,wfo-0000179899,1887,,,,,,Cercidoideae
wfo-0000163893,2671279,Fabaceae,Bauhinia,acreana,,Bauhinia acreana,Harms,Species,Accepted,2671279.0,2671275.0,,Notizbl. Königl. Bot. Gart. Berlin 6: 307 (1915),,Peru to Bolivia and Brazil,ipni:29981-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:29981-2,wfo-4000004242,,2001,,,,,,Cercidoideae
wfo-0000193177,2683253,Fabaceae,Brenierea,insignis,,Brenierea insignis,Humbert,Species,Accepted,2683253.0,2683252.0,,Compt. Rend. Hebd. Séances Acad. Sci. 249: 1599 (1959),,C. & S. Madagascar,ipni:482336-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:482336-1,wfo-4000005395,,2065,,,,,,Cercidoideae
wfo-0000199487,2671459,Fabaceae,Bauhinia,clemensiorum,,Bauhinia clemensiorum,Merr.,Species,Synonym,3014681.0,,,J. Arnold Arbor. 23: 171 (1942),,,ipni:481209-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481209-1,,wfo-0001421746,2294,,,,,,Cercidoideae
wfo-0000596663,2711446,Fabaceae,Cercis,texensis,,Cercis texensis,(S.Watson) Sarg.,Species,Synonym,2711413.0,,2711435.0,"Gard. & Forest 4: 448, 778 (1891)",,,ipni:52668-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:52668-2,,wfo-0001058821,2328,,,,,,Cercidoideae
wfo-1200099595,3312617,Fabaceae,Bauhinia,tomentosa,concolor,Bauhinia tomentosa f. concolor,Backer ex de Wit,Form,Synonym,2672149.0,,,Reinwardtia 3: 410 (1956),,,ipni:77344145-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77344145-1,,wfo-0000213258,2337,,,,,,Cercidoideae
wfo-0001248900,2672006,Fabaceae,Bauhinia,ramirezii,,Bauhinia ramirezii,Reynoso,Species,Accepted,2672006.0,2671275.0,,Acta Bot. Mex. 20: 53 (1992),,Mexico (Jalisco),ipni:303558-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303558-2,wfo-4000004242,,2342,,,,,,Cercidoideae
wfo-0001056181,2671436,Fabaceae,Bauhinia,cavaleriei,,Bauhinia cavaleriei,H.Lév.,Species,Synonym,2671385.0,,,Repert. Spec. Nov. Regni Veg. 11: 31 (1912),,,ipni:481193-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481193-1,,wfo-0000196998,2416,,,,,,Cercidoideae
wfo-0001282684,3242753,Fabaceae,Bauhinia,ramosissima,ramosissima,Bauhinia ramosissima var. ramosissima,,Variety,Accepted,3242753.0,2672007.0,,Unknown,,Mexico,ipni:77223410-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223410-1,wfo-0000163959,,2581,,,,,,Cercidoideae
wfo-0000176252,2671380,Fabaceae,Bauhinia,bongardii,,Bauhinia bongardii,Steud.,Species,Synonym,2671400.0,,,"Nomencl. Bot., ed. 2, 1: 191 (1840)",,,ipni:481147-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481147-1,,wfo-0000173891,2704,,,,,,Cercidoideae
wfo-1200022398,2671460,Fabaceae,Bauhinia,clemensiorum,,Bauhinia clemensiorum,Gagnep.,Species,Illegitimate,3014681.0,,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 24: 315 (1952)",", nom. illeg.",,ipni:481210-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481210-1,,wfo-0001421746,2775,,,,,,Cercidoideae
wfo-0000176292,2538476,Fabaceae,Pauletia,inermis,,Pauletia inermis,Cav.,Species,Synonym,3242754.0,,,Icon. 5: 6 (1799),,,ipni:512817-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512817-1,,wfo-0001445020,2801,,,,,,Cercidoideae
wfo-0000166275,2671909,Fabaceae,Bauhinia,palenquensis,,Bauhinia palenquensis,Lundell,Species,Synonym,2672031.0,,,Contr. Univ. Michigan Herb. 6: 24 (1941),,,ipni:481538-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481538-1,,wfo-0000163962,2815,,,,,,Cercidoideae
wfo-0000584073,2696550,Fabaceae,Cansenia,tomentosa,,Cansenia tomentosa,(L.) Raf.,Species,Synonym,2672149.0,,2672149.0,Sylva Tellur.: 122 (1838),,,ipni:483747-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:483747-1,,wfo-0000213258,2818,,,,,,Cercidoideae
wfo-0000183899,2671605,Fabaceae,Bauhinia,furcata,,Bauhinia furcata,Desv.,Species,Synonym,2671531.0,,,Ann. Sci. Nat. (Paris) 9: 429 (1826),,,ipni:481318-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481318-1,,wfo-0000183531,2924,,,,,,Cercidoideae
wfo-0000195849,2671820,Fabaceae,Bauhinia,madagascariensis,,Bauhinia madagascariensis,Desv.,Species,Accepted,2671820.0,2671275.0,,J. Bot. Agric. 1: 74 (1813),,Madagascar,ipni:481476-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481476-1,wfo-4000004242,,2948,,,,,,Cercidoideae
wfo-0000199572,2537903,Fabaceae,Phanera,velutina,,Phanera velutina,Benth.,Species,Synonym,2671976.0,,,"F.A.W.Miquel, Pl. Jungh.: 262 (1852)",,,ipni:513594-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513594-1,,wfo-0000199570,2991,,,,,,Cercidoideae
wfo-0000175558,2671514,Fabaceae,Bauhinia,decora,,Bauhinia decora,L.Uribe,Species,Accepted,2671514.0,2671275.0,,Fl. Antioquia: 193 (1940),,Colombia,ipni:481250-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481250-1,wfo-4000004242,,3005,,,,,,Cercidoideae
wfo-0000197104,2671929,Fabaceae,Bauhinia,pernervosa,,Bauhinia pernervosa,H.Y.Chen,Species,Synonym,3014591.0,,,J. Arnold Arbor. 19: 132 (1938),,,ipni:481556-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481556-1,,wfo-0001421741,3007,,,,,,Cercidoideae
wfo-0001409920,2671598,Fabaceae,Bauhinia,forficata,platypetala,Bauhinia forficata var. platypetala,(Burch. ex Benth.) Wunderlin,Variety,Synonym,2671951.0,,2671951.0,Ann. Missouri Bot. Gard. 60: 571 (1973),,,ipni:30054-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30054-2,,wfo-0000194514,3012,,,,,,Cercidoideae
wfo-0000188789,2711426,Fabaceae,Cercis,griffithii,,Cercis griffithii,Boiss.,Species,Accepted,2711426.0,2711402.0,,Fl. Orient. 2: 633 (1872),,Iran to C. Asia and Afghanistan,ipni:485678-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485678-1,wfo-4000007401,,3144,,,,,,Cercidoideae
wfo-0000183905,2671926,Fabaceae,Bauhinia,peninsularis,,Bauhinia peninsularis,Brandegee,Species,Synonym,2671531.0,,,Univ. Calif. Publ. Bot. 10: 183 (1922),,,ipni:30138-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30138-2,,wfo-0000183531,3146,,,,,,Cercidoideae
wfo-0001054396,2671644,Fabaceae,Bauhinia,grahamii,,Bauhinia grahamii,Steud.,Species,Synonym,2672035.0,,,"Nomencl. Bot., ed. 2, 1: 191 (1840)",,,ipni:481348-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481348-1,,wfo-0000173941,3339,,,,,,Cercidoideae
wfo-0000182084,2671813,Fabaceae,Bauhinia,macrostachya,,Bauhinia macrostachya,Benth.,Species,Synonym,3242754.0,,,J. Bot. (Hooker) 2: 96 (1840),,,ipni:60461945-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60461945-2,,wfo-0001445020,3449,,,,,,Cercidoideae
wfo-0000163911,2671415,Fabaceae,Bauhinia,campestris,,Bauhinia campestris,Malme,Species,Accepted,2671415.0,2671275.0,,Ark. Bot. 5(5): 10 (1905),,WC. Brazil,ipni:30009-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30009-2,wfo-4000004242,,3480,,,,,,Cercidoideae
wfo-0000173892,2671404,Fabaceae,Bauhinia,burchellii,,Bauhinia burchellii,Benth.,Species,Accepted,2671404.0,2671275.0,,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 186 (1870)",,Brazil (Mato Grosso to Pará),ipni:481164-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481164-1,wfo-4000004242,,3504,,,,,,Cercidoideae
wfo-1000038924,2672094,Fabaceae,Bauhinia,spicata,,Bauhinia spicata,Rottler ex Biehler,Species,Synonym,2672000.0,,,Pl. Nov. Herb. Spreng.: 19 (1807),,,ipni:481683-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481683-1,,wfo-0000213166,3661,,,,,,Cercidoideae
wfo-0000184554,2671421,Fabaceae,Bauhinia,candida,,Bauhinia candida,Roxb.,Species,Illegitimate,3016714.0,,,"Fl. Ind., ed. 1832. 2: 318 (1832)",", nom. illeg.",,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2671421-4,,wfo-0000193298,3760,,,,,,Cercidoideae
wfo-0000183875,2672028,Fabaceae,Bauhinia,rotundata,,Bauhinia rotundata,Mill.,Species,Synonym,3242744.0,,,"Gard. Dict., ed. 8.: n.° 7 (1768)",,,ipni:481635-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481635-1,,wfo-0000179407,3767,,,,,,Cercidoideae
wfo-4000004094,2669816,Fabaceae,Barklya,,,Barklya,F.Muell.,Genus,Accepted,2669816.0,,,"J. Proc. Linn. Soc., Bot. 3: 158 (1859)",,E. Australia,ipni:21784-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21784-1,wfo-4100002414,,3792,,,,,Cercidoideae,Cercidoideae
wfo-0000163927,2671563,Fabaceae,Bauhinia,estrellensis,,Bauhinia estrellensis,Hassl.,Species,Accepted,2671563.0,2671275.0,,Repert. Spec. Nov. Regni Veg. 9: 147 (1911),,WC. Brazil to Paraguay,ipni:30049-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30049-2,wfo-4000004242,,3820,,,,,,Cercidoideae
wfo-0000184765,2633225,Fabaceae,Amaria,sessilifolia,,Amaria sessilifolia,Mutis ex DC.,Species,Synonym,2671938.0,,,Prodr. 2: 519 (1825),,,ipni:272038-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:272038-2,,wfo-0000173930,3874,,,,,,Cercidoideae
wfo-0000166203,2672169,Fabaceae,Bauhinia,unilaterale,,Bauhinia unilaterale,Britten & Baker f.,Species,Synonym,2671525.0,,,J. Bot. 35: 233 (1897),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2672169-4,,wfo-0000163924,3990,,,,,,Cercidoideae
wfo-0000173926,2671904,Fabaceae,Bauhinia,ovata,,Bauhinia ovata,(Bong.) Vogel,Species,Accepted,2671904.0,2671275.0,2538518.0,Linnaea 13: 300 (1839),,E. Brazil,ipni:481535-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481535-1,wfo-4000004242,,4029,,,,,,Cercidoideae
wfo-0000197110,2671522,Fabaceae,Bauhinia,didyma,,Bauhinia didyma,H.Y.Chen,Species,Synonym,3014704.0,,,J. Arnold Arbor. 19: 131 (1938),,,ipni:481258-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481258-1,,wfo-0001421750,4067,,,,,,Cercidoideae
wfo-0000183892,2671303,Fabaceae,Bauhinia,amblyophylla,,Bauhinia amblyophylla,Harms,Species,Synonym,2671531.0,,,Bull. Herb. Boissier 7: 548 (1899),,,ipni:29987-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:29987-2,,wfo-0000183531,4139,,,,,,Cercidoideae
wfo-0000183887,2671288,Fabaceae,Bauhinia,adansoniana,,Bauhinia adansoniana,Guill. & Perr.,Species,Synonym,2672040.0,,,Fl. Seneg. Tent.: 265 (1832),,,ipni:481083-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481083-1,,wfo-0000213186,4250,,,,,,Cercidoideae
wfo-0001449908,2934324,Fabaceae,Cercis,siliquastrum,alba,Cercis siliquastrum lusus alba,(Weston) Asch. & Graebn.,lusus,Synonym,3256015.0,,2934322.0,Syn. Mitteleur. Fl. 6(2): 178 (1907),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2934324-4,,wfo-0000188790,4332,,,,,,Cercidoideae
wfo-0000183901,2671761,Fabaceae,Bauhinia,lamarckiana,,Bauhinia lamarckiana,DC.,Species,Synonym,2671531.0,,,Prodr. 2: 512 (1825),,,ipni:481434-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481434-1,,wfo-0000183531,4380,,,,,,Cercidoideae
wfo-0000199561,2537808,Fabaceae,Phanera,elongata,,Phanera elongata,Benth.,Species,Synonym,3242752.0,,,"F.A.W.Miquel, Pl. Jungh.: 262 (1852)",,,ipni:513526-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513526-1,,wfo-0000199558,4402,,,,,,Cercidoideae
wfo-0000213056,2538436,Fabaceae,Perlebia,natalensis,,Perlebia natalensis,(Oliv.) A.Schmitz,Species,Synonym,2671879.0,,2671879.0,Bull. Jard. Bot. Natl. Belg. 43: 385 (1973),,,ipni:513086-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513086-1,,wfo-0000213045,4415,,,,,,Cercidoideae
wfo-0000469540,2538627,Fabaceae,Pauletia,saccocalyx,,Pauletia saccocalyx,(Pierre) A.Schmitz,Species,Synonym,2672048.0,,2672048.0,Bull. Soc. Roy. Bot. Belgique 110: 15 (1977),,,ipni:512842-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:512842-1,,wfo-0000199581,4581,,,,,,Cercidoideae
wfo-0000469315,2537951,Fabaceae,Phanera,ochroleuca,,Phanera ochroleuca,Miq.,Species,Synonym,3014592.0,,,Fl. Ned. Ind. 1(1): 69 (1855),,,ipni:513558-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513558-1,,wfo-0001421742,4672,,,,,,Cercidoideae
wfo-1000002222,2702533,Fabaceae,Casparia,pringlei,,Casparia pringlei,(S.Watson) Britton & Rose,Species,Synonym,2671980.0,,2671980.0,"N.L.Britton & al. (eds.), N. Amer. Fl. 23(2): 212 (1930)",,,ipni:48156-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:48156-2,,wfo-0000163957,4690,,,,,,Cercidoideae
wfo-0000746157,2899384,Fabaceae,Bauhinia,esmeraldasensis,,Bauhinia esmeraldasensis,Wunderlin,Species,Accepted,2899384.0,2671275.0,,J. Bot. Res. Inst. Texas 3: 631 (2009),,Ecuador,ipni:77106471-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77106471-1,wfo-4000004242,,4759,,,,,,Cercidoideae
