rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000183791,2366039,Fabaceae,Macrolobium,unijugum,,Macrolobium unijugum,(Poepp.) R.S.Cowan,Species,Illegitimate,3031207,,2865839,Mem. New York Bot. Gard. 8: 306 (1953),", nom. illeg.",,ipni:148999-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148999-2,,wfo-0000179344,84474,,,,,Detarioideae
wfo-0000171500,2414908,Fabaceae,Peltogyne,venosa,densiflora,Peltogyne venosa var. densiflora,(Spruce ex Benth.) Amshoff,Variety,Synonym,2414909,,2538386,Meded. Bot. Mus. Herb. Rijks Univ. Utrecht 52: 15 (1939),,,ipni:187020-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:187020-2,,wfo-0000168749,84495,,,,,Detarioideae
wfo-0001060024,2592104,Fabaceae,Saraca,asoca,,Saraca asoca,(Roxb.) W.J.de Wilde,Species,Accepted,2592104,2592102,2331329,Blumea 15: 393 (1967 publ. 1968),,E. Pakistan to Myanmar and Sri Lanka,ipni:517883-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:517883-1,wfo-4000033998,,84499,,,,,Detarioideae
wfo-0000174430,2366282,Fabaceae,Macrolobium,multijugum,,Macrolobium multijugum,(DC.) Benth.,Species,Accepted,2366282,2366400,2388408,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 15(2): 222 (1870)",,S. Trop. America,ipni:505740-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505740-1,wfo-4000022724,,84501,,,,,Detarioideae
wfo-0000199656,2331331,Fabaceae,Jonesia,declinata,,Jonesia declinata,Jack,Species,Synonym,2592079,,,Malayan Misc. 2(7): 74 (1822),,,ipni:501116-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501116-1,,wfo-0000192941,84526,,,,,Detarioideae
wfo-0000418445,2451876,Fabaceae,Vouapa,violacea,,Vouapa violacea,Poir.,Species,Illegitimate,2366299,,,"J.B.A.M.de Lamarck, Encycl. 8: 700 (1808)",", nom. superfl.",,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2451876-4,,wfo-0001055340,84714,,,,,Detarioideae
wfo-0000199675,2591078,Fabaceae,Sindora,laotica,,Sindora laotica,Gagnep.,Species,Accepted,2591078,2591028,,"Bull. Mus. Natl. Hist. Nat., sér. 2, 24: 320 (1952)",,Indo-China,ipni:518602-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518602-1,wfo-4000035428,,84781,,,,,Detarioideae
wfo-0000572624,2683875,Fabaceae,Brownea,pauciflora,,Brownea pauciflora,Willd.,Species,Synonym,2531738,,,"Sp. Pl., ed. 4. 3: 716 (1800)",,,ipni:482434-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:482434-1,,wfo-0000178497,84960,,,,,Detarioideae
wfo-0000354799,2331332,Fabaceae,Jonesia,javanica,,Jonesia javanica,Blume ex Miq.,Species,Invalid,2592079,,,Fl. Ned. Ind. 1(1): 85 (1855),", pro syn.",,ipni:501117-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501117-1,,wfo-0000192941,85017,,,,,Detarioideae
wfo-0000172221,2452797,Fabaceae,Vouapa,discolor,,Vouapa discolor,(Benth.) Taub.,Species,Synonym,2366088,,2366088,Bot. Centralbl. 47: 393 (1891),,,ipni:266454-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:266454-2,,wfo-0000169369,85039,,,,,Detarioideae
wfo-0001052761,2366106,Fabaceae,Macrolobium,klugii,,Macrolobium klugii,R.S.Cowan,Species,Accepted,2366106,2366400,,Mem. New York Bot. Gard. 8: 309 (1953),,Peru,ipni:148951-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:148951-2,wfo-4000022724,,85041,,,,,Detarioideae
wfo-0000170562,2752344,Fabaceae,Cynometra,multijuga,,Cynometra multijuga,Harms,Species,Synonym,2539584,,,Bot. Jahrb. Syst. 40: 22 (1907),,,ipni:489458-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:489458-1,,wfo-0000170551,85089,,,,,Detarioideae
wfo-0000170173,2366430,Fabaceae,Macrolobium,coeruleum,,Macrolobium coeruleum,(Taub.) Harms,Species,Synonym,2531893,,2452794,"H.G.A.Engler & O.Drude, Veg. Erde 9(III 1): 475 (1915)",,,ipni:505664-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505664-1,,wfo-0001057771,85170,,,,,Detarioideae
