rhakhis_wfo,taxonid,family,genus,specificepithet,infraspecificepithet,scientfiicname,scientfiicnameauthorship,taxonrank,taxonomicstatus,acceptednameusageid,parentnameusageid,originalnameusageid,namepublishedin,nomenclaturalstatus,taxonremarks,scientificnameid,references,rhakhis_parent,rhakhis_accepted,rhakhis_pk,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_basionym,subfamily
wfo-0000704648,2827770,Fabaceae,Glycyrrhiza,spinescens,,Glycyrrhiza spinescens,Sieber ex Rchb.,Species,Unplaced,,2827696,,Fl. Germ. Excurs. 2: 513 (1832),,Croatia (Cers I.),ipni:496968-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496968-1,,,31,,,,,
wfo-0000204414,2744702,Fabaceae,Crotalaria,topouensis,,Crotalaria topouensis,Debb.,Species,Unplaced,,2743186,,Proc. Indian Sci. Congr. Assoc. 9: 117 (1922),", nom. subnud.",India (Bihar),ipni:60462593-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60462593-2,,,137,,,,,
wfo-1200022665,2762393,Fabaceae,Desmodium,heterophyllum,,Desmodium heterophyllum,Hook. & Arn.,Species,Unplaced,,2762072,,Bot. Beechey Voy.: 417 (1840),", nom. illeg.",http://plants.jstor.org/specimen/e00369043,ipni:491803-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:491803-1,,,179,,,,,
wfo-0000513006,2614266,Fabaceae,Acacia,viarum,,Acacia viarum,Allemão ex Ten.,Species,Unplaced,,2611079,,Cat. Hort. Neapol. 1813: 77 (1813),,Brazil,ipni:471755-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:471755-1,,,201,,,,,
wfo-0001054406,2672046,Fabaceae,Bauhinia,rutenbergiana,,Bauhinia rutenbergiana,Vatke,Species,Unplaced,,2671275,,Abh. Naturwiss. Vereine Bremen 7: 249 (1882),,Madagascar,ipni:481648-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481648-1,,,356,,,,,
wfo-0000513040,2614449,Fabaceae,Acantharia,melanocarpa,,Acantharia melanocarpa,Rojas Acosta,Species,Unplaced,,2614448,,Cat. Hist. Nat. Corrientes: 60 (1897),,Argentina (Corrientes),ipni:471900-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:471900-1,,,594,,,,,
wfo-0000653394,2774592,Fabaceae,Dolichos,tamulicus,,Dolichos tamulicus,Spreng.,Species,Unplaced,,2774202,,"Bot. Gart. Halle, Nachtr. 1: 21 (1801)",,,ipni:493264-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:493264-1,,,873,,,,,
wfo-1000047229,3302403,Fabaceae,Chamaecrista,tomentella,,Chamaecrista tomentella,Afr.Fern.,Species,Unplaced,,2714614,,Reg. Bot.: 47 (2005),", with 2 syntypes cited.",Brazil  (Goiás),ipni:77318314-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77318314-1,,,979,,,,,
wfo-0000554423,2662584,Fabaceae,Astragalus,salsula,,Astragalus salsula,Scop.,Species,Unplaced,,2657136,,Delic. Fl. Faun. Insubr. 2: 104 (1787),,,ipni:479643-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:479643-1,,,1040,,,,,
wfo-0000724161,2852223,Fabaceae,Hoffmannseggia,glandulosa,,Hoffmannseggia glandulosa,Willd. ex Vogel,Species,Unplaced,,2852192,,Linnaea 11: 404 (1837),,Brazil,ipni:498427-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:498427-1,,,1273,,,,,
wfo-0000731773,2865866,Fabaceae,Inga,villosa,,Inga villosa,M.Martens & Galeotti,Species,Unplaced,,2864988,,Bull. Acad. Roy. Sci. Bruxelles 10(2): 319 (1843),,Mexico (Oaxaca),ipni:500915-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:500915-1,,,1363,,,,,
wfo-0000561610,2671823,Fabaceae,Bauhinia,maglesia,,Bauhinia maglesia,Lindl.,Species,Unplaced,,2671275,,Sketch Veg. Swan R.: t. 3 (1839),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2671823-4,,,1654,,,,,
wfo-1000038871,2624964,Fabaceae,Afzelia,bijuga,,Afzelia bijuga,Baill.,Species,Unplaced,,2624953,,"A.Grandidier, Hist. Phys. Madagascar: t. 27 (1886)",", nom. illeg.",Madagascar,ipni:473054-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:473054-1,,,1697,,,,,
wfo-1200022287,2661072,Fabaceae,Astragalus,mexicanus,,Astragalus mexicanus,Sessé & Moc.,Species,Unplaced,,2657136,,"Naturaleza (Mexico City), ser. 2, 1(App.): 119 (1890)",", nom. illeg.",,ipni:25221-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:25221-2,,,1727,,,,,
wfo-1000002779,3267922,Fabaceae,Coronilla,fischeri,,Coronilla fischeri,Jacques,Species,Unplaced,,2737916,,"Ann. Fl. Pomone, sér. 2, 2: 349 (1844)",,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3267922-4,,,1775,,,,,
wfo-4100000321,2727130,Fabaceae,Cleobula,,,Cleobula,Vell.,Genus,Unplaced,,,,Fl. Flumin.: 187 (1829),,,ipni:20026-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20026-1,,,1826,,,,,
wfo-0000554066,2661284,Fabaceae,Astragalus,mulkak,,Astragalus mulkak,Lipsky,Species,Unplaced,,2657136,,Trudy Imp. S.-Peterburgsk. Bot. Sada 18: 49 (1901),,C. Asia,ipni:478760-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:478760-1,,,1912,,,,,
wfo-0000675815,2797140,Fabaceae,Eriosema,pseudocajanoides,,Eriosema pseudocajanoides,Buscal. & Muschl.,Species,Unplaced,,2796927,,Bot. Jahrb. Syst. 49: 472 (1913),,Zimbabwe,ipni:494129-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:494129-1,,,2026,,,,,
wfo-0000704407,2827380,Fabaceae,Glycine,minus,,Glycine minus,Lag.,Species,Unplaced,,3223627,,Elench. Pl.: 8 (1816),,,ipni:927627-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927627-1,,,2100,,,,,
wfo-0000704363,2827277,Fabaceae,Glycine,discolor,,Glycine discolor,Willd. ex Spreng.,Species,Unplaced,,3223627,,"Syst. Veg., ed. 16. 3: 196 (1826)",,http://ww2.bgbm.org/herbarium/view_large.cfm?SpecimenPK=152936&idThumb=381076&SpecimenSequenz=1&loan=0,ipni:496703-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496703-1,,,2171,,,,,
wfo-0000653305,2774340,Fabaceae,Dolichos,flavus,,Dolichos flavus,Larrañaga,Species,Unplaced,,2774202,,Escritos D. A. Larrañaga 2: 228 (1923),,Uruguay,ipni:82858-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:82858-2,,,2198,,,,,
wfo-0000696576,2819468,Fabaceae,Genista,phrygia,,Genista phrygia,Bornm.,Species,Unplaced,,2818992,,Repert. Spec. Nov. Regni Veg. 3: 129 (1906),,Türkiye,ipni:496252-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496252-1,,,2233,,,,,
wfo-0000169594,2636976,Fabaceae,Andira,zehntneri,,Andira zehntneri,Harms,Species,Unplaced,,2636885,,Repert. Spec. Nov. Regni Veg. 17: 443 (1921),,Brazil (Bahia),ipni:12614-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:12614-2,,,2262,,,,,
wfo-1200021961,2612193,Fabaceae,Acacia,ferruginea,,Acacia ferruginea,Denham,Species,Unplaced,,2611079,,"Cat. Horti Camald., ed. 2: 17 (1832)",", nom. illeg.",Australia,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2612193-4,,,2391,,,,,
wfo-0000538800,2642063,Fabaceae,Anthyllis,rubriflora,,Anthyllis rubriflora,Hegetschw.,Species,Unplaced,,2641894,,Fl. Schweiz: 693 (1840),,Europe,ipni:474759-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:474759-1,,,2562,,,,,
wfo-0000642203,2762444,Fabaceae,Desmodium,lactescens,,Desmodium lactescens,Bojer,Species,Unplaced,,2762072,,Hortus Maurit.: 100 (1837),,Mauritius,ipni:491848-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:491848-1,,,2578,,,,,
wfo-0000512832,2613405,Fabaceae,Acacia,platyphylla,,Acacia platyphylla,Sweet,Species,Unplaced,,2611079,,Hort. Brit.: 102 (1826),,Australia,ipni:471168-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:471168-1,,,2662,,,,,
wfo-0000177013,2762270,Fabaceae,Desmodium,dimorphum,,Desmodium dimorphum,Welw. ex Baker,Species,Synonym,2762152,,,"D.Oliver & auct. suc. (eds.), Fl. Trop. Afr. 2: 161 (1871)",,,ipni:491703-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:491703-1,,wfo-1200000621,2773,,,,,
wfo-0000553938,2660774,Fabaceae,Astragalus,lorochuensis,,Astragalus lorochuensis,Širj.,Species,Unplaced,,2657136,,Abh. Russ. Forsch. Ges. Prag 10(74): 117 (1940),,S. Tibet,ipni:478424-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:478424-1,,,2786,,,,,
wfo-0000731694,2865499,Fabaceae,Inga,molliuscula,,Inga molliuscula,Desv.,Species,Unplaced,,2864988,,Ann. Sci. Nat. (Paris) 9: 427 (1826),,,ipni:500621-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:500621-1,,,2938,,,,,
wfo-0001054653,2744398,Fabaceae,Crotalaria,pubera,,Crotalaria pubera,Vahl,Species,Unplaced,,2743186,,Eclog. Amer. 2: 55 (1798),,,ipni:488725-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:488725-1,,,2950,,,,,
wfo-0000612024,2728205,Fabaceae,Clompanus,paniculata,,Clompanus paniculata,Aubl.,Species,Unplaced,,2728142,,Hist. Pl. Guiane 2: 773 (1775),,French Guiana,ipni:486619-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:486619-1,,,3138,,,,,
wfo-0000716804,2841342,Fabaceae,Hedysarum,immaculatum,,Hedysarum immaculatum,Forssk.,Species,Unplaced,,2840943,,Fl. Aegypt.-Arab.: 214 (1775),,Yemen,ipni:497785-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:497785-1,,,3253,,,,,
wfo-0000716927,2841730,Fabaceae,Hedysarum,strictifolium,,Hedysarum strictifolium,Rech.f.,Species,Unplaced,,2840943,,Bot. Jahrb. Syst. 75: 338 (1951),,Iran (Lurestan),ipni:498131-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:498131-1,,,3271,,,,,
wfo-0000512613,2612289,Fabaceae,Acacia,gemella,,Acacia gemella,Hoffmanns.,Species,Unplaced,,2611079,,"Verz. Pfl.-Kult., Nachtr. 2: 40 (1826)",,,ipni:470387-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470387-1,,,3388,,,,,
wfo-0000696337,2819018,Fabaceae,Genista,amarella,,Genista amarella,Lepech.,Species,Unplaced,,2818992,,Reise Versch. Prov. Russ. Reich. 3: 42 (1783),,,ipni:495873-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:495873-1,,,3491,,,,,
wfo-0000531382,2634233,Fabaceae,Amorpha,tomentosa,,Amorpha tomentosa,Raf.,Species,Unplaced,,2634116,,Fl. Ludov.: 105 (1817),,U.S.A.,ipni:473851-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:473851-1,,,3547,,,,,
wfo-0000512585,2612131,Fabaceae,Acacia,esterhazia,,Acacia esterhazia,J.B.Mackay ex Regel,Species,Unplaced,,2611079,,Cat. Pl. Hort. Aksakov.: 2 (1860),,Australia,ipni:470279-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470279-1,,,3631,,,,,
wfo-1000002780,3267923,Fabaceae,Cytisus,attleanus,,Cytisus attleanus,Ed.Otto,Species,Unplaced,,2754521,,Neue Allg. Deutsche Garten- Blumenzeitung 5: 264 (1854),,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3267923-4,,,3645,,,,,
